source,target,weight
102,38elements,2
102,43081j,1
102,A-gambit,1
102,Aaron3,6
102,AaronO,9
102,AdamCraven,1
102,AdamNiederer,1
102,AdriVanHoudt,1
102,AjayPoshak,1
102,Aleks-d,1
102,AlexKVal,1
102,AlexanderLukin,1
102,AlexandreBonneau,1
102,Alexsey,1
102,AndersDJohnson,2
102,AngeloGulina,1
102,ArtemGovorov,1
102,ArtskydJ,2
102,AsaAyers,1
102,Async0x42,1
102,BYK,2
102,Bamieh,1
102,BelinChung,1
102,BenoitZugmeyer,1
102,BigBlueHat,30
102,Bnaya,6
102,BondarenkoAlex,2
102,BrandonSurowiec,1
102,BrianDGLS,1
102,Calvein,1
102,Can-Sahin,2
102,CarterLi,1
102,Cauldrath,1
102,ChalkPE,1
102,ChangJoo-Park,1
102,Chocobozzz,2
102,Choicelin,1
102,ChrisAntaki,1
102,ChrisWren,2
102,ChristianMurphy,2
102,ClimbsRocks,1
102,CodinCat,2
102,CoolGoose,1
102,Daniel15,2
102,DanielRosenwasser,1
102,DannyFeliz,1
102,DarkoKukovec,1
102,Delapouite,2
102,DenisGorbachev,1
102,DjebbZ,1
102,DmitryBaranovskiy,1
102,Download,1
102,EmilTholin,1
102,EnoahNetzach,2
102,F-loat,1
102,F21,7
102,FND,1
102,Finesse,2
102,FinnWoelm,1
102,ForbesLindesay,2
102,Formatted,1
102,FrankFang,3
102,Gcaufy,1
102,Gpx,3
102,HammyHavoc,1
102,Hebo,4
102,Henni,1
102,HerringtonDarkholme,2
102,Huachao,3
102,HusamIbrahim,1
102,Hypnosphi,1
102,IljaDaderko,1
102,IonicaBizau,1
102,IvanSanchez,1
102,JPeer264,1
102,Jack-Works,1
102,JacksonTian,2
102,JamieDixon,1
102,Jason-Cooke,2
102,JasonMore,1
102,Jayin,1
102,JedWatson,1
102,Jinjiang,2
102,JoelMarcey,1
102,JoshuaGross,1
102,JoviDeCroock,2
102,Justineo,2
102,KevinGrandon,1
102,KingMario,2
102,Kingwl,2
102,Kiran-Rao,1
102,KraigWalker,1
102,Krinkle,2
102,KuangPF,1
102,Laboratory,1
102,LasaleFamine,1
102,Leonya,1
102,LoicMahieu,2
102,Loilo,1
102,LukasDrgon,2
102,MarcelGerber,1
102,MartijnCuppens,1
102,MartijnDwars,1
102,Matrixbirds,4
102,MichaelDeBoey,2
102,MicheleBertoli,1
102,MikeKovarik,1
102,Mithgol,2
102,MoOx,2
102,MohammadYounes,1
102,MoritzKn,1
102,Munter,1
102,MylesBorins,1
102,NARKOZ,1
102,NickBusey,1
102,Noviny,1
102,OliverCole,1
102,OpenGG,1
102,Page-,2
102,Pana,1
102,PatrickJS,2
102,PeterDaveHello,2
102,Qix-,1
102,RWOverdijk,1
102,Raynos,2
102,ReadmeCritic,2
102,Rich-Harris,2
102,Richard-zhang,1
102,Rob--W,1
102,RyanCavanaugh,2
102,S-YOU,1
102,SamVerschueren,1
102,SamyPesse,2
102,Scrum,2
102,Semigradsky,1
102,SevenOutman,1
102,SheetJSDev,1
102,Shyam-Chen,1
102,SimonSelg,1
102,Strate,2
102,Stuk,2
102,TheJaredWilcurt,1
102,TimothyGu,32
102,Trott,3
102,WaleedAshraf,4
102,XGHeaven,1
102,XadillaX,1
102,XhmikosR,2
102,Xuefeng-Zhu,1
102,Y--,92
102,ZYSzys,1
102,Zirak,1
102,aben1188,1
102,ad-m,1
102,adispring,1
102,af,31
102,afanasy,1
102,afc163,1
102,ahamid,1
102,aheckmann,2
102,ai,6
102,ajwhite,2
102,alireza-mh,2
102,allain,11
102,almet,1
102,alsotang,1
102,amire80,1
102,amitport,1
102,andyli,4
102,anru,1
102,antony,2
102,anudeepreddy,1
102,anurag,3
102,aparajita,1
102,apoorv-mishra,1
102,arai-a,2
102,arb,2
102,arbaaz,1
102,arcanis,2
102,aretecode,2
102,asaf,1
102,asfktz,2
102,asheb,1
102,astro,1
102,auchenberg,1
102,ayrton,4
102,ayush,18
102,azz,1
102,baer,8
102,bajtos,2
102,barbeque,1
102,basarat,1
102,batuhan,2
102,bb,2
102,bcoe,2
102,bengl,2
102,benjie,1
102,benlesh,1
102,bernard-lin,1
102,berwin,1
102,bezoerb,1
102,bf4,10
102,bhough,1
102,bjh,1
102,blake-newman,2
102,bluepeter,1
102,bmac,30
102,bmax,1
102,bminer,1
102,bookercodes,1
