source,target,weight
0BuRner,terhorst,2
0phoff,103yiran,29
0phoff,ArutyunovG,23
0phoff,Bharat123rox,19
0phoff,GuoxiaWang,23
0phoff,JackLangerman,29
0phoff,JoelMarcey,25
0phoff,Julian,2
0phoff,Kaixhin,26
0phoff,LeviViana,11
0phoff,Omegastick,14
0phoff,RicCu,3
0phoff,Rio,11
0phoff,Sergei-Lebedev,3
0phoff,Spandan-Madan,2
0phoff,SsnL,29
0phoff,TH3CHARLie,3
0phoff,TomVeniat,2
0phoff,aidan-,4
0phoff,albanD,29
0phoff,ashwin,4
0phoff,bddppq,29
0phoff,bottler,1
0phoff,cclauss,29
0phoff,cherniavskii,10
0phoff,cympfh,3
0phoff,daquexian,29
0phoff,devforfu,2
0phoff,dizcza,2
0phoff,dmitriy-serdyuk,32
0phoff,faust,8
0phoff,fehiepsi,29
0phoff,goldsborough,29
0phoff,jeongukjae,3
0phoff,jmp84,29
0phoff,kashif,29
0phoff,kim0,20
0phoff,lixinsu,3
0phoff,lsrock1,11
0phoff,lyuwenyu,23
0phoff,mal,11
0phoff,malmaud,32
0phoff,marco,5
0phoff,matham,1
0phoff,pengyao,27
0phoff,praveen-palanisamy,26
0phoff,rasbt,26
0phoff,rory,20
0phoff,ross,17
0phoff,samuela,29
0phoff,sethah,29
0phoff,soumith,29
0phoff,spMohanty,2
0phoff,t-ae,2
0phoff,teng-li,29
0phoff,theweiho,29
0phoff,titaneric,4
0phoff,tony,15
0phoff,vfdev-5,19
0phoff,vishwakftw,13
0phoff,youkaichao,18
0xflotus,103yiran,1
0xflotus,AbdealiJK,1
0xflotus,Abhishek-Balaji,55
0xflotus,AdamGleave,2
0xflotus,Adorable-Catgirl,3
0xflotus,AlexanderHaase,1
0xflotus,Alexis-benoist,1
0xflotus,AndrasGardos,18
0xflotus,ArjaanBuijk,1
0xflotus,BenSturmfels,1
0xflotus,Benny-,1
0xflotus,BertrandBordage,1
0xflotus,Bharat123rox,5
0xflotus,Borda,2
0xflotus,Bouke,9
0xflotus,CJ-Wright,1
0xflotus,Carreau,3
0xflotus,CaselIT,1
0xflotus,Cheukting,1
0xflotus,Chris-Johnston,20
0xflotus,ChrisPappalardo,1
0xflotus,ClimbsRocks,1
0xflotus,CoinCheung,2
0xflotus,Colanim,1
0xflotus,Czechball,76
0xflotus,DanielGoldfarb,3
