source,target,weight
13k,284km,2
13k,404NetworkError,1
13k,4geru,2
13k,AJ-Acevedo,1
13k,AdamFerguson,1
13k,AliSoftware,2
13k,Arie,7
13k,Atalanta,1
13k,Atul9,2
13k,Bajena,1
13k,BenEmdon,1
13k,BrandonMathis,1
13k,Burgestrand,1
13k,Coeur,2
13k,ColinHebert,1
13k,ConradIrwin,2
13k,DamonClark,4
13k,DanielHeath,1
13k,DanielKehoe,2
13k,DarthSim,1
13k,Defman21,1
13k,DmitryTsepelev,1
13k,Edouard-chin,2
13k,EdwardBetts,5
13k,EricFromCanada,2
13k,Erol,11
13k,FND,1
13k,Flink,7
13k,Fryguy,2
13k,Hammadk,1
13k,IngmarStein,1
13k,JackDanger,2
13k,JakeLaCombe,1
13k,JanStevens,1
13k,JisuPark,1
13k,JonRowe,2
13k,JoshCheek,2
13k,Joshua-Anderson,1
13k,JuanitoFatas,2
13k,Kagetsuki,1
13k,KevinSjoberg,1
13k,MSch,2
13k,Mange,2
13k,MiLk,1
13k,MikeMcQuaid,2
13k,MindTooth,1
13k,MortenGregersen,2
13k,Nerian,2
13k,NickLaMuro,1
13k,Pajk,2
13k,PatrickJS,2
13k,PeterDaveHello,1
13k,PikachuEXE,2
13k,RDIL,2
13k,ReadmeCritic,2
13k,RomanMaru,1
13k,Ross-Hunter,6
13k,RyanBrushett,1
13k,Sam-Killgallon,1
13k,SamSaffron,2
13k,Silex,1
13k,Sinjo,2
13k,Soulou,2
13k,SteamedFish,1
13k,Telmo,6
13k,TimMoore,2
13k,Uysim,2
13k,XhmikosR,2
13k,aakritigupta,1
13k,ab,2
13k,agios,2
13k,aitor,1
13k,ajh,1
13k,akahn,1
13k,akzhan,2
13k,alce,1
13k,alexandru-calinoiu,1
13k,alexch,2
13k,alexpop,2
13k,aligo,1
13k,alloy,2
13k,andre,12
13k,andrew-su,1
13k,andrew,2
13k,andy5995,1
13k,andyli,1
13k,artem-sidorenko,2
13k,ashirazi,1
13k,ashmaroli,2
13k,assembler,2
13k,atd,2
13k,atmos,2
13k,auser,1
13k,avit,2
13k,ax3l,1
13k,aziz,7
13k,b-dean,2
13k,backspace,2
13k,bakins,1
13k,balexand,2
13k,banyan,2
13k,barthez,2
13k,batter,2
13k,bdon,1
13k,bolshakov,2
13k,boone,2
13k,bouk,1
13k,bpo,1
13k,bradland,1
13k,bricker,1
